Age,Income,Gender,Marital_Status,Tenure_Months,Recency,Frequency,Monetary,Response
24,23902.36,Female,Divorced,59,78,4,1911.01,0
38,27449.15,Female,Divorced,34,11,8,3456.17,0
26,60961.7,Female,Married,9,39,19,3648.47,0
56,65194.45,Female,Widowed,81,19,14,2928.81,1
35,41913.67,Male,Single,11,93,7,2159.21,0
21,72771.85,Male,Single,96,37,14,2582.98,0
42,26769.6,Female,Widowed,10,2,6,1961.94,0
31,58678.4,Female,Widowed,86,27,12,2021.58,0
67,35779.68,Male,Married,17,55,16,3261.92,0
26,46963.28,Male,Widowed,68,89,17,3119.42,0
43,60947.97,Male,Single,48,93,13,3018.04,0
19,42791.73,Female,Single,52,12,14,2531.55,1
37,52308.89,Male,Single,111,76,7,2477.82,0
45,80125.86,Female,Single,25,65,14,2483.98,1
64,48462.16,Female,Single,21,36,15,2386.35,1
24,76713.84,Male,Married,101,48,12,3433.53,1
61,37405.86,Female,Single,102,65,17,2910.75,0
25,70596.08,Female,Married,113,35,9,2703.73,0
64,88831.37,Female,Single,65,53,15,3167.88,0
52,10567.11,Female,Divorced,63,25,12,2667.02,0
31,44062.09,Male,Divorced,89,74,2,2220.32,0
34,71541.44,Male,Divorced,51,71,5,1706.69,0
53,55939.09,Female,Divorced,36,39,13,2201.94,0
67,67422.92,Female,Married,81,42,8,1926.09,0
57,47920.3,Male,Married,105,21,14,3002.73,1
21,61731.8,Female,Widowed,88,19,15,2785.45,1
19,56886.46,Male,Single,66,7,11,2101.98,1
23,83355.64,Female,Divorced,104,28,1,2340.05,0
59,65088.42,Female,Married,15,39,3,2421.73,0
21,66752.05,Male,Single,96,89,17,2502.52,0
46,51762.46,Male,Single,39,29,19,2936.09,0
35,50247.88,Male,Married,70,80,14,2973.57,0
43,51348.84,Male,Divorced,1,83,8,1970.82,0
61,67889.04,Female,Widowed,111,54,13,2933.11,1
51,51580.31,Male,Single,23,15,3,2300.51,1
27,65795.5,Female,Widowed,39,45,5,1750.4,0
53,101508.02,Male,Divorced,57,61,9,2559.9,1
31,77422.49,Male,Divorced,81,6,6,2482.82,0
48,53479.53,Female,Widowed,34,79,2,1787.0,0
65,84024.28,Male,Divorced,41,44,13,2376.36,0
32,51838.49,Male,Single,93,58,5,1745.79,0
25,19237.51,Male,Widowed,73,55,8,2175.5,0
31,39838.27,Male,Divorced,13,47,1,2043.96,0
40,22584.16,Female,Widowed,70,26,12,2327.74,0
57,52969.73,Female,Single,6,52,11,1807.56,1
38,60368.37,Male,Divorced,84,86,7,2005.71,0
33,93528.75,Male,Single,52,87,15,2541.35,0
62,66538.55,Male,Divorced,117,72,11,2958.42,0
35,55617.99,Female,Married,3,34,16,3097.38,1
64,76588.11,Female,Divorced,81,50,3,2568.11,0
41,15777.29,Female,Widowed,63,83,14,2330.49,0
43,64712.29,Female,Divorced,49,36,3,2220.78,0
42,75417.3,Male,Single,76,80,1,838.48,0
62,30428.28,Male,Single,112,94,15,2964.46,0
58,82875.08,Male,Divorced,47,56,1,2355.45,1
46,66769.93,Female,Widowed,109,7,17,2674.19,1
32,51694.24,Male,Married,55,78,2,2247.71,0
62,72655.64,Female,Widowed,64,94,6,1542.54,0
18,105413.86,Female,Married,65,93,8,1999.47,0
42,63637.33,Male,Single,81,19,16,3182.72,1
24,64964.41,Male,Widowed,67,52,19,3205.63,0
26,50812.78,Male,Married,90,11,1,1844.07,0
41,43003.11,Female,Divorced,15,48,3,2555.68,1
18,76606.72,Female,Single,100,16,3,2219.15,1
61,42878.32,Male,Divorced,32,63,5,1997.89,0
25,61431.32,Male,Single,96,41,12,2508.59,0
41,50446.85,Female,Widowed,68,93,12,2372.29,0
28,69579.6,Male,Widowed,18,28,13,2058.11,1
68,66673.24,Female,Single,113,18,9,3078.34,0
34,80750.8,Female,Single,83,10,7,2065.99,0
25,49799.67,Male,Single,43,97,4,1783.82,0
52,54602.5,Male,Widowed,116,49,19,2185.33,1
52,40424.73,Male,Married,35,70,19,1632.02,0
50,51114.13,Male,Divorced,104,57,6,2650.75,1
22,67546.01,Female,Divorced,78,33,13,3046.8,1
59,75139.77,Female,Widowed,58,19,11,3146.52,1
56,41556.69,Female,Divorced,33,49,13,2575.48,0
58,77392.12,Male,Single,14,87,13,2489.0,1
45,87112.76,Female,Married,34,9,15,2496.14,1
24,68268.7,Male,Divorced,61,31,13,2441.72,0
26,97535.92,Male,Married,119,51,11,3109.9,0
25,44524.22,Male,Single,4,14,19,2936.74,1
29,35106.91,Male,Divorced,88,83,8,2589.04,0
51,24425.6,Male,Widowed,59,2,8,2179.0,0
50,89920.89,Male,Married,29,36,10,3160.42,0
65,73087.31,Female,Single,83,39,16,1847.63,0
40,58888.31,Male,Married,6,71,19,2339.74,0
41,65599.37,Female,Divorced,97,39,11,2739.86,1
54,37490.22,Female,Divorced,49,55,13,3525.31,0
52,108915.04,Male,Widowed,40,22,9,2337.45,0
61,62584.42,Male,Single,83,10,19,2528.81,1
57,62187.9,Male,Single,117,63,16,3300.33,0
39,74515.33,Female,Widowed,65,7,7,2511.85,1
44,69620.18,Male,Widowed,69,92,19,3595.11,1
52,64477.68,Female,Single,27,93,12,1954.82,0
18,44190.51,Male,Married,80,55,15,3355.83,0
52,69429.37,Male,Married,6,59,14,1925.77,1
54,97640.49,Female,Widowed,104,9,11,2405.91,1
64,86908.4,Female,Married,13,38,10,2706.39,1
31,91863.73,Male,Single,112,27,11,2643.01,0
20,49775.69,Female,Divorced,64,48,6,2830.3,0
18,40207.9,Female,Divorced,62,35,2,1186.67,1
22,57484.26,Female,Married,99,12,11,2620.5,1
43,61114.5,Female,Widowed,19,95,19,3549.82,0
31,81883.83,Female,Widowed,76,35,6,2329.65,0
56,26150.71,Male,Widowed,80,25,14,2128.83,0
44,90591.01,Male,Widowed,43,85,6,2803.75,0
26,56839.84,Female,Widowed,74,3,17,2525.84,0
32,51462.38,Male,Married,89,94,10,2087.84,0
32,39757.91,Male,Divorced,20,81,1,1574.93,0
43,26902.87,Female,Divorced,95,63,3,2050.66,1
59,76463.41,Male,Married,68,37,8,2491.53,0
30,61466.36,Female,Widowed,44,87,8,1765.45,1
68,34200.78,Female,Married,23,86,15,2218.18,0
49,34098.42,Male,Divorced,2,21,7,2002.76,0
56,53284.31,Female,Single,120,1,11,2072.51,0
66,93380.43,Female,Married,22,30,7,2368.38,1
69,54808.17,Female,Widowed,115,10,4,2380.61,0
49,29937.14,Female,Divorced,57,91,12,2711.94,0
21,55085.14,Female,Divorced,101,45,6,2412.67,0
47,54545.53,Male,Divorced,72,95,14,3535.5,0
54,10000.0,Male,Divorced,7,61,12,2811.84,0
40,58914.1,Female,Widowed,78,68,11,2941.98,1
56,55381.31,Female,Single,56,63,19,2742.69,0
62,73924.13,Male,Divorced,119,9,5,2722.0,0
32,96979.12,Female,Married,67,39,14,2468.82,0
60,82531.3,Male,Single,114,23,16,3005.72,1
46,54622.23,Female,Divorced,16,98,13,1964.32,1
53,37869.48,Female,Single,119,43,4,2283.12,0
30,111467.2,Female,Married,83,59,11,2062.31,1
49,61184.37,Female,Divorced,51,61,17,3318.02,0
24,60278.59,Female,Married,82,86,7,2787.94,0
68,59517.5,Female,Widowed,116,16,14,2466.69,1
39,63961.7,Female,Divorced,80,64,11,3574.79,1
45,57112.79,Male,Divorced,72,94,9,2307.06,0
19,48526.76,Male,Divorced,97,94,13,1843.99,0
59,49062.82,Male,Divorced,113,56,18,2510.44,0
62,59344.93,Female,Widowed,12,54,11,2027.93,0
23,49131.5,Female,Divorced,53,52,15,2939.8,0
45,45743.08,Female,Single,75,55,19,2332.32,1
45,62128.6,Female,Divorced,5,97,1,1780.39,0
61,54900.46,Female,Widowed,27,8,4,2357.28,1
61,90079.86,Female,Divorced,12,21,14,2769.32,0
37,10000.0,Female,Single,17,12,14,2693.68,0
47,81830.14,Male,Widowed,6,88,3,2213.0,1
28,84921.7,Female,Widowed,97,47,17,2664.75,1
45,18532.2,Male,Single,5,17,3,1348.12,0
42,53146.25,Male,Single,57,75,16,2601.58,0
56,52571.18,Female,Single,28,39,14,2934.37,0
50,31849.77,Female,Single,78,16,13,2581.53,1
18,44443.67,Male,Single,69,14,15,2945.74,0
44,37788.48,Male,Widowed,118,14,14,2406.61,1
69,95045.41,Female,Widowed,120,78,19,3447.17,1
30,78713.57,Female,Divorced,59,62,6,1021.84,0
58,85431.1,Male,Divorced,33,38,10,2570.72,1
20,74433.44,Female,Married,62,12,15,3424.44,1
56,37418.96,Female,Divorced,50,80,6,3048.85,0
23,49509.59,Female,Divorced,112,31,10,2384.09,0
25,69787.49,Male,Single,105,8,7,1686.9,1
44,35557.44,Male,Single,19,39,17,3533.24,0
26,74259.97,Male,Divorced,86,19,18,2874.07,1
54,55193.49,Female,Married,69,89,17,2770.52,1
50,52503.58,Female,Single,66,90,9,2003.57,1
68,74219.2,Male,Divorced,94,84,10,1875.06,0
59,68885.27,Male,Divorced,47,81,10,2781.93,0
61,52780.68,Male,Widowed,39,76,7,2684.94,0
41,83186.6,Female,Married,68,79,16,2900.77,0
32,38378.73,Male,Widowed,33,72,18,2517.98,0
49,72318.71,Male,Married,13,62,6,1767.5,0
49,71862.03,Female,Single,84,75,1,1333.88,1
41,53809.07,Female,Married,54,43,1,1769.73,0
58,66522.66,Female,Divorced,7,37,12,2097.07,0
69,34977.73,Male,Divorced,79,82,2,1245.35,0
66,78480.54,Female,Married,87,59,4,2525.67,0
66,56301.96,Female,Married,14,70,17,2190.47,0
69,49545.54,Male,Married,87,98,4,2691.96,0
29,80980.18,Female,Widowed,19,47,11,2747.04,1
56,45913.13,Male,Married,54,17,4,2347.17,0
19,31830.77,Male,Single,93,15,1,2882.65,0
20,28867.42,Female,Widowed,120,54,7,1707.1,0
66,72120.2,Female,Widowed,20,38,18,3336.89,0
54,34391.41,Female,Married,29,67,9,2301.18,0
66,95095.88,Female,Single,24,58,3,3435.54,1
34,18361.41,Female,Widowed,82,88,8,2209.6,1
66,93929.13,Female,Divorced,63,95,19,2678.85,0
19,64220.35,Male,Widowed,74,61,4,2412.77,1
19,58065.74,Male,Married,105,12,18,2795.55,0
45,49101.62,Female,Single,57,80,11,2170.77,0
40,67982.72,Male,Married,8,5,14,2214.86,0
54,59247.31,Female,Divorced,90,82,18,3629.1,1
49,82066.04,Male,Divorced,62,76,16,2218.27,0
50,62284.55,Male,Divorced,29,59,3,2261.54,0
18,63006.04,Male,Married,74,89,15,3278.09,1
36,52727.76,Female,Widowed,17,13,4,2752.25,1
19,58861.09,Male,Married,66,94,5,1949.17,0
61,66156.04,Female,Single,6,53,17,2746.91,1
43,25796.63,Male,Widowed,58,3,7,2149.9,0
49,33036.29,Male,Divorced,69,38,16,2032.49,0
23,74865.28,Male,Married,28,71,14,2968.76,1
49,63417.31,Male,Divorced,62,24,16,2819.25,0
21,56320.33,Male,Divorced,41,76,7,3070.29,0
28,60368.68,Female,Single,69,31,9,2038.4,0
34,66951.63,Female,Widowed,82,58,4,2744.35,0
55,49204.81,Male,Single,90,62,11,3129.62,0
41,44433.91,Male,Single,84,37,2,2123.54,0
22,63916.91,Male,Single,41,91,12,1514.57,0
69,40432.54,Male,Divorced,49,52,12,2343.72,0
51,68165.06,Female,Single,91,93,4,3092.94,1
23,25948.33,Male,Single,49,66,18,3048.53,0
39,80583.11,Female,Widowed,76,27,7,2696.7,1
28,69451.95,Male,Widowed,71,2,1,2005.42,0
65,65120.59,Female,Single,3,97,13,2538.28,1
33,79653.82,Male,Widowed,10,79,6,1366.33,0
50,93309.49,Male,Widowed,98,21,6,2697.37,0
26,80287.4,Female,Single,89,95,12,3139.84,0
23,23182.52,Male,Divorced,35,37,8,1924.57,0
33,34408.46,Male,Single,80,71,19,2860.57,0
46,47503.63,Male,Widowed,2,71,5,2093.13,0
20,60521.82,Female,Divorced,24,61,18,3110.08,0
37,70353.18,Male,Married,74,56,5,1977.82,1
53,45485.12,Male,Divorced,38,5,10,2965.67,0
36,63735.34,Female,Widowed,22,77,1,2085.66,0
43,44892.34,Female,Divorced,26,31,10,1225.29,0
20,47769.64,Female,Single,43,98,5,2471.36,1
36,31866.78,Male,Married,55,9,12,3098.18,0
37,41535.34,Male,Married,39,2,7,1773.97,1
49,32966.31,Male,Married,91,58,9,2654.36,0
24,40482.53,Female,Widowed,29,75,12,3514.98,0
69,81072.84,Male,Widowed,111,48,1,2106.03,0
58,41012.02,Male,Married,102,58,11,3120.81,0
50,112647.64,Female,Divorced,20,30,15,2528.92,1
57,69866.36,Female,Married,91,92,2,2091.02,0
56,63696.72,Female,Divorced,41,68,7,2247.69,0
35,42832.84,Female,Divorced,54,61,12,2406.44,1
57,74006.2,Female,Widowed,20,51,18,2826.14,1
18,48487.24,Male,Divorced,108,88,3,1334.66,0
28,62440.2,Female,Married,19,40,7,2184.56,0
45,111201.69,Male,Widowed,84,30,11,3218.9,1
42,58078.8,Male,Single,99,84,18,2418.15,1
67,82985.47,Female,Single,111,83,12,2066.93,1
40,45936.47,Female,Widowed,66,21,6,2330.61,1
48,59300.23,Female,Married,30,3,5,2305.59,1
47,95416.01,Male,Single,53,12,1,2238.73,0
59,47460.66,Female,Single,34,44,12,2543.13,1
52,96248.97,Female,Divorced,22,41,11,2585.93,1
24,74155.04,Female,Divorced,67,48,4,2024.56,0
33,48750.66,Female,Married,6,19,18,2262.1,0
43,72648.15,Female,Widowed,79,76,4,2164.3,0
65,79451.09,Male,Married,27,80,17,3212.3,1
69,72436.2,Male,Widowed,10,53,2,2357.53,0
66,28595.51,Male,Single,73,35,2,1227.88,0
19,45457.26,Female,Divorced,97,96,12,2725.96,0
18,55049.63,Female,Married,96,0,6,1853.62,1
65,58511.33,Female,Married,48,14,10,3196.08,0
29,72413.44,Male,Widowed,70,76,16,2963.13,0
22,63554.02,Female,Widowed,105,16,14,3148.14,1
54,33293.11,Female,Married,59,23,7,2360.58,0
49,67603.96,Female,Widowed,100,57,19,2916.97,1
26,72211.71,Male,Married,59,71,17,3597.92,1
58,71195.81,Female,Married,2,90,9,2936.39,1
52,81615.61,Male,Married,29,22,13,2708.93,1
36,76678.44,Female,Single,68,45,5,2150.17,0
65,69183.6,Male,Widowed,65,71,5,1396.41,0
33,58596.69,Male,Divorced,83,7,10,2662.28,1
20,26780.78,Male,Divorced,26,58,10,2436.95,1
37,68592.36,Female,Widowed,89,89,7,2626.98,0
41,64153.75,Female,Married,10,58,15,3178.91,1
50,65431.58,Male,Divorced,53,12,7,2966.46,0
41,34465.03,Male,Divorced,79,38,15,2918.5,1
69,38378.87,Female,Widowed,59,27,3,1626.82,0
28,81063.06,Female,Divorced,22,88,19,1875.34,0
66,59208.9,Male,Married,51,60,10,2087.65,0
25,73630.01,Female,Widowed,48,15,15,3416.74,0
53,60566.37,Female,Married,21,1,3,3061.75,1
55,60595.12,Female,Divorced,120,81,6,2181.05,0
57,78765.68,Female,Divorced,22,16,12,1869.52,1
37,49679.11,Male,Married,100,29,15,2425.79,0
52,61922.42,Female,Single,98,12,6,2868.9,0
65,50754.49,Female,Divorced,30,95,13,2354.49,0
42,51310.08,Male,Single,25,92,19,3244.56,0
52,53816.56,Male,Divorced,109,93,3,2234.28,0
42,64442.68,Female,Single,28,81,8,2755.0,0
46,50425.03,Female,Single,65,12,8,3309.01,0
35,85115.12,Female,Single,113,42,15,3044.89,0
63,42107.85,Female,Married,45,84,4,2273.46,0
35,56262.57,Male,Single,68,93,19,3914.19,0
19,51205.38,Male,Single,7,20,3,2324.78,0
52,88939.56,Male,Single,49,54,13,2253.53,1
33,63931.1,Female,Divorced,9,80,8,2743.73,0
58,80636.89,Female,Single,36,39,16,3023.73,0
53,30288.79,Female,Divorced,83,82,13,2496.05,0
50,65341.01,Female,Single,1,14,3,1891.21,1
21,77792.62,Male,Single,10,72,16,2650.87,0
50,61645.68,Male,Married,36,51,9,2184.06,1
31,81309.61,Female,Divorced,73,73,14,2567.12,1
38,49654.23,Male,Single,109,94,13,2228.6,0
65,88186.95,Female,Divorced,46,52,7,2543.08,0
37,105977.96,Female,Divorced,106,86,15,2905.6,0
25,52743.23,Male,Widowed,32,51,7,2522.6,1
24,51089.95,Female,Married,32,29,6,2268.82,1
20,89067.69,Female,Married,6,32,2,2011.17,1
34,91591.44,Male,Married,48,56,9,3171.0,0
50,49542.8,Female,Widowed,38,51,17,2883.7,1
65,51596.26,Female,Widowed,17,8,5,2881.88,0
29,54364.31,Male,Married,74,53,12,2101.79,0
68,33110.99,Female,Widowed,114,0,1,2344.59,1
39,41626.96,Male,Widowed,27,43,10,2132.65,1
39,39917.18,Female,Widowed,54,98,11,2271.92,0
63,44644.05,Male,Married,50,74,16,2594.05,0
47,59306.3,Male,Married,35,97,14,2462.7,0
55,64684.29,Male,Married,116,79,8,2165.2,0
55,91010.01,Female,Widowed,85,8,17,3458.64,1
62,40032.92,Male,Married,25,31,18,2922.71,0
68,79686.45,Male,Widowed,28,14,12,2712.53,1
25,55720.22,Male,Single,111,11,17,2621.42,1
44,59010.73,Male,Widowed,15,96,14,3128.47,0
44,73496.39,Male,Divorced,4,77,16,2977.53,0
51,37545.56,Female,Married,93,56,14,2545.54,0
38,67648.19,Female,Married,73,7,9,1657.86,1
47,63329.04,Female,Divorced,27,71,4,2308.15,1
50,69849.03,Female,Widowed,26,26,11,2837.84,1
45,65783.37,Female,Single,19,61,6,1810.58,1
64,109106.0,Female,Divorced,120,11,15,2602.3,0
50,47245.2,Female,Divorced,92,64,5,2518.58,0
22,49380.06,Male,Widowed,17,41,11,1764.54,0
65,47537.19,Female,Married,43,61,18,2575.57,1
36,48890.46,Male,Widowed,41,10,13,2838.45,0
21,47252.26,Male,Divorced,42,42,11,3102.51,0
52,83780.33,Female,Divorced,50,94,14,3792.89,0
66,88410.08,Male,Married,84,16,18,3879.33,1
34,48585.07,Male,Married,109,96,19,3021.88,1
61,43352.89,Male,Married,40,31,15,2507.89,1
45,69428.31,Male,Widowed,39,92,9,2911.56,0
47,48955.54,Female,Married,113,84,8,2128.2,0
46,72658.64,Female,Divorced,117,84,1,1668.95,0
63,64058.46,Female,Divorced,23,39,4,2047.37,0
23,29685.12,Female,Single,111,22,14,2484.66,0
52,90950.1,Female,Widowed,96,55,2,2306.32,1
58,95917.55,Female,Single,52,5,16,2498.8,1
54,47744.23,Female,Divorced,47,85,3,2192.56,0
41,52245.97,Female,Single,63,49,8,3197.48,0
46,65717.31,Female,Divorced,97,36,6,2361.07,0
66,66689.14,Female,Single,110,63,16,3558.37,0
63,73170.89,Male,Married,69,53,16,3401.03,1
48,100204.09,Female,Single,43,71,7,2646.02,0
52,56461.06,Male,Married,48,48,13,2472.92,0
50,44034.06,Male,Married,34,98,13,3170.25,0
69,32413.62,Male,Widowed,40,10,5,2125.01,0
38,45381.4,Male,Married,75,87,18,2899.0,1
49,59337.46,Female,Married,61,48,15,2915.1,1
40,95891.16,Male,Single,50,20,18,2897.32,1
50,49647.77,Female,Divorced,67,65,2,1739.87,0
20,64475.76,Female,Widowed,62,62,10,1736.45,1
35,59671.54,Male,Married,58,82,13,3129.57,0
42,83767.87,Female,Widowed,33,27,18,3185.17,0
59,110538.65,Male,Single,75,16,15,1889.69,1
48,49382.62,Male,Married,16,5,12,2226.61,1
20,50211.21,Female,Single,82,18,15,2839.53,0
57,80883.22,Female,Widowed,94,55,13,2871.29,1
63,73637.83,Male,Single,48,27,18,2140.77,1
41,96934.15,Female,Widowed,119,65,15,2705.38,1
67,71678.56,Female,Single,10,37,11,2819.83,1
49,52814.16,Female,Widowed,82,36,19,2774.24,1
64,71813.1,Male,Divorced,38,67,3,2277.91,0
39,82174.07,Male,Single,19,85,7,2106.22,0
40,76409.64,Female,Single,36,89,14,3154.6,0
19,70145.48,Female,Divorced,59,48,14,2300.36,0
44,81333.49,Female,Divorced,63,42,13,2078.96,1
59,83385.91,Female,Single,77,35,12,2614.46,1
19,87643.18,Female,Divorced,120,57,9,1733.24,0
43,72974.2,Male,Married,46,12,1,997.44,1
34,56657.64,Female,Widowed,3,51,19,3491.87,1
57,62934.27,Male,Widowed,74,57,11,2057.89,1
50,84130.18,Female,Widowed,102,31,19,2283.17,1
26,43661.29,Male,Married,65,80,18,2494.12,0
60,67373.47,Female,Divorced,119,99,12,2171.67,0
65,52133.22,Male,Divorced,120,59,1,1978.94,0
56,60574.9,Female,Single,91,82,19,2403.26,0
46,85569.04,Male,Divorced,110,57,17,3099.09,0
59,63821.98,Male,Single,8,98,5,2573.12,0
43,60928.73,Male,Married,51,55,3,1512.5,0
52,32802.88,Male,Widowed,110,27,2,1790.95,0
67,74925.07,Male,Widowed,106,0,3,1888.47,1
42,72909.68,Male,Widowed,81,41,8,2317.5,0
41,103265.09,Female,Divorced,73,81,16,3341.34,1
30,53844.44,Male,Single,6,47,6,2870.16,0
24,64383.01,Female,Single,107,39,13,3899.43,0
53,64987.67,Female,Married,89,96,16,1665.31,1
62,91549.07,Female,Divorced,39,62,16,2337.85,1
37,58094.09,Female,Married,113,75,3,3057.0,0
18,65580.43,Female,Single,60,71,13,1749.65,1
25,72157.93,Male,Single,28,87,14,3595.63,0
63,63732.18,Male,Widowed,97,79,8,2473.68,0
33,51071.33,Male,Divorced,54,3,12,2692.07,0
31,63881.8,Female,Single,37,37,8,1760.1,1
29,81472.63,Male,Widowed,9,26,9,2224.42,1
68,39469.69,Male,Divorced,82,8,1,2923.69,0
40,62659.39,Male,Married,56,15,6,2276.16,1
32,45997.58,Male,Divorced,59,55,19,2727.75,0
45,83900.93,Male,Divorced,85,75,11,2752.86,0
51,29536.26,Female,Single,2,30,11,2453.89,0
19,48821.56,Male,Single,61,87,13,2822.58,0
49,67544.24,Female,Divorced,58,13,11,2125.13,1
40,91310.48,Female,Single,107,24,18,2861.42,1
39,58684.99,Female,Single,60,33,15,2429.46,0
68,48896.01,Female,Single,102,66,1,1148.02,0
42,97623.14,Female,Widowed,40,23,7,2590.98,1
39,31039.72,Male,Widowed,36,72,13,2033.11,0
39,16023.88,Male,Divorced,114,25,12,2517.63,0
66,68800.29,Male,Single,107,19,18,3363.03,1
69,49958.92,Female,Widowed,37,63,19,2201.09,0
59,39575.34,Male,Divorced,79,9,15,3052.34,1
23,74167.13,Male,Single,92,82,8,2250.09,0
32,64876.01,Female,Married,18,66,19,2466.74,0
60,48718.43,Female,Single,98,23,10,3511.46,1
54,34393.91,Female,Single,63,4,7,2349.72,0
50,77449.15,Female,Widowed,22,66,18,2615.95,1
25,73004.02,Male,Divorced,11,57,16,2409.89,0
61,58016.48,Female,Divorced,58,26,6,2740.58,0
61,96932.74,Female,Widowed,57,79,9,2143.97,1
22,38598.3,Male,Single,77,14,13,3028.26,0
56,29489.5,Male,Married,4,34,8,2398.76,0
21,46161.84,Female,Single,86,75,16,3358.09,0
23,59088.28,Male,Single,7,52,13,2128.73,0
62,64866.79,Female,Married,61,43,13,2198.47,1
49,55175.28,Female,Widowed,107,25,17,2709.5,1
69,67041.11,Male,Divorced,54,46,5,2150.97,0
47,34969.21,Male,Widowed,88,33,17,2672.72,0
64,88875.29,Female,Widowed,68,86,9,3765.72,1
52,58356.98,Female,Single,92,94,2,3131.62,0
57,82345.92,Female,Divorced,79,49,18,3049.53,1
69,66854.51,Male,Divorced,1,83,9,2658.49,0
33,69135.06,Female,Widowed,55,11,6,2181.78,0
30,71395.35,Female,Married,3,86,11,2025.09,0
67,68954.17,Female,Widowed,78,3,6,2208.96,1
59,72854.46,Female,Married,38,86,6,2685.56,0
47,86583.05,Female,Divorced,114,47,13,3302.81,1
36,63930.42,Male,Widowed,1,54,11,3047.85,0
34,74180.08,Female,Single,102,0,14,1945.11,1
36,58205.29,Female,Widowed,38,88,2,1955.39,0
45,88802.34,Female,Divorced,85,65,8,1665.57,1
43,46472.15,Female,Single,112,29,3,2734.42,0
54,96018.81,Male,Single,29,2,3,1943.81,1
43,59196.84,Male,Married,5,20,1,2026.44,0
40,31384.5,Male,Single,113,88,19,3190.03,1
26,62562.09,Female,Single,74,83,18,4283.07,1
29,46378.97,Female,Widowed,92,48,17,2984.14,1
18,76812.87,Male,Divorced,21,85,13,2530.86,0
18,46947.52,Male,Married,114,84,3,1529.48,0
64,51076.33,Male,Widowed,71,61,1,2779.32,0
51,22209.19,Female,Single,67,96,4,2109.18,0
49,50953.87,Female,Single,109,37,13,3478.57,0
65,11522.41,Male,Married,47,14,17,3402.81,1
42,28321.94,Male,Divorced,84,51,11,2318.52,0
57,75208.29,Male,Married,83,78,2,1403.86,0
62,75716.0,Female,Widowed,35,45,16,2936.28,1
18,68509.15,Female,Married,68,24,2,1792.55,0
33,40660.48,Female,Single,69,20,19,2969.67,1
56,59045.77,Male,Widowed,1,87,19,3474.52,0
22,59927.95,Male,Single,68,4,16,1973.21,0
39,36832.71,Female,Divorced,12,69,19,3082.31,0
46,90067.97,Male,Single,60,46,9,2829.8,1
20,77547.25,Female,Single,27,86,1,2454.06,0
29,55580.72,Male,Married,56,67,10,1818.23,0
43,60537.72,Male,Single,106,90,19,3159.67,1
33,64167.66,Male,Widowed,23,17,1,2651.77,1
68,19165.3,Male,Widowed,25,20,2,2271.62,0
54,55056.45,Female,Divorced,21,91,16,2742.15,1
39,46360.32,Male,Widowed,61,98,12,3169.81,0
46,39967.6,Female,Married,63,85,8,2052.84,1
31,54377.99,Female,Divorced,52,22,18,2135.08,1
45,95953.73,Female,Widowed,88,63,2,1999.7,1
